Country Name,Country Code,2015gdp,2016gdp,2017gdp,2018gdp,2019gdp,2019gdppc,2019inflation,2019population,2019unemployment,2019FDI%,Continent,2018population
Lesotho,LSO,2372280099,2165408362,2405289382,2575892261,2460072444,1157.535164,2.735323488,2125268,,4.782198489,Africa,2108132
Late-demographic dividend,LTE,1.85E+13,1.85E+13,2.06E+13,2.25E+13,2.30E+13,10000.48201,2.279013616,2298470832,5.572466341,1.612777143,#N/A,2287833784
Lithuania,LTU,41392396558,43021972485,47750908128,53455170034,54219315600,19455.45413,2.953388141,2786844,6.255199909,2.495965623,Europe,2801543
Luxembourg,LUX,57744457955,60691483443,64181944723,70919958016,71104919108,114704.5942,3.392093108,619896,5.59469986,-16.06194232,Europe,607950
Latvia,LVA,27090019663,27734140217,30273007510,34313873285,34117202555,17836.36489,2.631955999,1912789,6.312099934,3.104727297,Europe,1927174
"Macao SAR, China",MAC,45361678147,45387299721,50751059058,55084050790,53859116536,84096.39631,2.584638764,640445,1.700000048,11.49957616,Asia,631636
St. Martin (French part),MAF,,,,,,,,38002,,,North America,37264
Morocco,MAR,1.01E+11,1.03E+11,1.10E+11,1.18E+11,1.19E+11,3204.095003,0.84,36471769,,1.347447741,Africa,36029138
Monaco,MCO,6261622101,6472990923,6431314957,7188238073,,,,38964,,,Europe,38682
Moldova,MDA,7745231660,8071480541,9669759987,11457410264,11955435457,4498.52085,5.491334138,2657637,5.098999977,4.960170645,Europe,2706049
Madagascar,MDG,11323023787,11848615018,13176313233,13853433948,14083906357,522.2198092,5.277390177,26969307,,1.613667981,Africa,26262368
Maldives,MDV,4109424800,4379136462,4735989972,5327457150,5729248472,10790.50024,2.152152101,530953,,15.5542986,Asia,515696
Middle East & North Africa,MEA,3.14E+12,3.15E+12,3.27E+12,3.61E+12,3.70E+12,8104.501888,0.616772691,456707404,,1.887350242,#N/A,448912962
Mexico,MEX,1.17E+12,1.08E+12,1.16E+12,1.22E+12,1.26E+12,9863.072699,3.33298841,127575529,3.482800007,2.333345116,North America,126190788
Marshall Islands,MHL,184599600,200558400,212881000,221278000,,,,58791,,,Oceania,58413
Middle income,MIC,2.65E+13,2.67E+13,2.93E+13,3.13E+13,3.22E+13,5575.440915,2.408925252,5769226180,,1.704205076,#N/A,5710089607
North Macedonia,MKD,10064515432,10672471861,11307058382,12628854801,12694823394,6093.14769,2.366723927,2083459,17.25740051,3.756616048,Europe,2082958
Mali,MLI,13104869674,14020002871,15375605992,17172022684,17510141171,890.7372855,2.399873507,19658031,,2.820213435,Africa,19077690
Malta,MLT,10682394998,11444483134,12747857570,14603581712,14786156563,29416.23061,2.324130851,502653,3.394599915,30.27209991,Europe,484630
Myanmar,MMR,67822772707,67184236747,68945867478,76168043982,76085852617,1407.813143,7.645719878,54045420,0.503400028,3.012814226,Asia,53708395
Middle East & North Africa (excluding high income),MNA,1.44E+12,1.45E+12,1.43E+12,,,,1.550147404,389457086,,1.342402683,#N/A,382896715
Montenegro,MNE,4054712083,4377033429,4856632399,5506766651,5494736901,8832.036836,1.571325005,622137,15.12290001,8.4238488,Europe,622227
Mongolia,MNG,11749620620,11186734674,11425755280,13108769496,13852850259,4295.235025,8.318809803,3225167,10.02719975,17.63783662,Asia,3170208
Northern Mariana Islands,MNP,931000000,1250000000,1601000000,1323000000,,,,57216,,,Oceania,56882
Mozambique,MOZ,15950969019,11936999283,13219084261,14717223207,14934159926,491.8047231,2.961872936,30366036,,14.60255044,Africa,29495962
Mauritania,MRT,6166857629,6398744505,6758390729,7049169771,7593752450,1677.919253,4.582775854,4525696,,-11.63536896,Africa,4403319
Mauritius,MUS,11692287066,12232463656,13259351418,14181803715,14180444557,11203.54058,0.941289548,1265711,,3.330662908,Africa,1265303
Malawi,MWI,6373212641,5433040160,6303292264,6917301909,7666704427,411.5523404,8.165981156,18628747,,1.283768589,Africa,18143315
Malaysia,MYS,3.01E+11,3.01E+11,3.19E+11,3.59E+11,3.65E+11,11414.83766,0.079258642,31949777,3.309999943,2.097735914,Asia,31528585
North America,NAC,1.98E+13,2.02E+13,2.11E+13,2.23E+13,2.31E+13,63181.79576,1.827157372,365892703,3.889240598,1.728523095,#N/A,363809186
Namibia,NAM,11272143550,10665634661,12741746434,13454211124,12366527719,4957.458006,1.502072884,2494530,,-0.328627818,Africa,2448255
New Caledonia,NCL,,,,,,,,287800,,,Oceania,284060
Niger,NER,9667589437,10284627190,11166063887,12826750567,12928145120,554.6009687,0.504264024,23310715,,4.585024613,Africa,22442948
Nigeria,NGA,4.95E+11,4.05E+11,3.76E+11,3.98E+11,4.48E+11,2229.858696,10.38477919,200963599,8.531000137,0.736205107,Africa,195874740
Nicaragua,NIC,12756706583,13286048705,13785943183,13063873078,12520915291,1912.903745,4.667738162,6545502,,4.017278197,North America,6465513
Netherlands,NLD,7.65E+11,7.84E+11,8.34E+11,9.14E+11,9.09E+11,52447.83144,3.04522666,17332850,3.379899979,3.925893963,Europe,17231624
Norway,NOR,3.86E+11,3.69E+11,3.98E+11,4.34E+11,4.03E+11,75419.63487,-0.62356977,5347896,3.687200069,3.417127791,Europe,5311916
Nepal,NPL,21410840909,21185922408,25180583770,29173513476,30641380604,1071.050761,6.169445467,28608710,,0.605569185,Asia,28087871
Nauru,NRU,86779266.16,100087349,109585941.6,124021393.7,118223430.1,9396.981967,3.3125,12581,,,Oceania,12704
New Zealand,NZL,1.77E+11,1.88E+11,2.05E+11,2.08E+11,2.07E+11,42084.35337,2.302510556,4917000,4.071000099,1.872632341,Oceania,4841000
OECD members,OED,4.73E+13,4.82E+13,5.03E+13,5.31E+13,5.36E+13,39399.04923,2.24799046,1359963500,5.383469694,1.492580437,#N/A,1352633507
Oman,OMN,68400260078,65481144343,70600000000,79275422627,76983094928,15474.03248,-3.374725838,4974986,,4.44222973,Asia,4829483
Other small states,OSS,3.70E+11,3.66E+11,4.04E+11,4.50E+11,4.38E+11,13981.58378,1.674015247,31360407,,7.89315459,#N/A,30760211
Pakistan,PAK,2.71E+11,2.79E+11,3.05E+11,3.15E+11,2.78E+11,1284.702041,8.62080281,216565318,,0.797205379,Asia,212215030
Panama,PAN,54091700000,57907700000,62219000000,65128200000,66800800000,15731.01603,-0.42543355,4246439,4.739200115,9.08378579,North America,4176873
Peru,PER,1.90E+11,1.92E+11,2.11E+11,2.22E+11,2.27E+11,6977.695784,1.555530573,32510453,3.029900074,3.919765662,South America,31989256
Philippines,PHL,3.06E+11,3.19E+11,3.28E+11,3.47E+11,3.77E+11,3485.084218,0.763638648,108116615,2.237299919,2.039657893,Asia,106651922
Palau,PLW,280376100,300125600,286321800,283994900,,,,18008,,,Oceania,17907
